Date,Open,High,Low,Close,Volume,Market Cap
Nov-14-2020,16320.0472,16320.0472,15725.30916,16083.58805,36181426857,2.96891E+11
Nov-13-2020,16297.18731,16463.29377,15984.11589,16316.13726,46113488950,3.01643E+11
Nov-12-2020,15691.60903,16299.94364,15492.64133,16279.27054,42629399359,2.94819E+11
Nov-11-2020,15297.95997,15949.5044,15282.01182,15687.48025,34076621282,2.88683E+11
Nov-10-2020,15313.69455,15429.00597,15104.41498,15280.16349,42038978766,2.83782E+11
Nov-09-2020,15478.31316,15798.201,14836.54357,15326.15685,39301152286,2.84841E+11
Nov-08-2020,14815.05132,15613.43327,14748.25694,15499.08129,44191246290,2.81458E+11
Nov-07-2020,15568.61662,15741.75486,14448.63073,14821.98325,43966023320,2.84108E+11
Nov-06-2020,15589.384,15922.32559,15204.98793,15547.05255,64505570472,2.88455E+11
Nov-05-2020,14140.35454,15710.75621,14100.78024,15558.52541,45894350398,2.72634E+11
Nov-04-2020,14017.05139,14212.51163,13589.96915,14132.96094,36787608743,2.57381E+11
Nov-03-2020,13556.44665,14034.32113,13304.12232,13973.24888,31957453140,2.5208E+11
Nov-02-2020,13760.88884,13826.96149,13269.50531,13576.96848,28341039633,2.51773E+11
Nov-01-2020,13794.54858,13881.86907,13629.06393,13735.00686,27500088065,2.54931E+11
Oct-31-2020,13554.96043,13984.74925,13431.71761,13795.52655,32985934325,2.54385E+11
Oct-30-2020,13456.60931,13661.9601,13151.41623,13568.83725,35824994060,2.48696E+11
Oct-29-2020,13276.34922,13629.99196,12987.72994,13443.53152,35824326415,2.46797E+11
Oct-28-2020,13639.74615,13837.30674,12960.02599,13275.48126,40460863642,2.49012E+11
Oct-27-2020,13057.48933,13775.68165,13057.48933,13651.54051,32537705771,2.47386E+11
Oct-26-2020,13022.01562,13215.24631,12821.64582,13065.53603,23955461477,2.41914E+11
Oct-25-2020,13115.29406,13327.97549,12915.83217,13020.81172,23616907117,2.41631E+11
Oct-24-2020,12929.78161,13139.41763,12869.96461,13117.17473,22616597578,2.4108E+11
Oct-23-2020,12964.75729,13014.06317,12740.00614,12929.02218,32656688932,2.39379E+11
Oct-22-2020,12799.953,13162.64828,12698.49931,12958.53719,44415617058,2.39244E+11
Oct-21-2020,11908.74144,13190.0937,11891.81135,12808.79595,38524738668,2.30399E+11
Oct-20-2020,11751.37387,12004.20824,11696.28936,11910.24211,26904815395,2.19246E+11
Oct-19-2020,11500.03238,11799.99117,11420.51617,11748.37678,18200393176,2.14382E+11
Oct-18-2020,11358.12796,11490.01581,11349.94171,11490.01581,15237087835,2.11547E+11
Oct-17-2020,11316.37441,11386.51967,11278.31155,11368.48474,18609745832,2.09974E+11
Oct-16-2020,11498.95004,11539.22069,11234.81902,11312.66278,25895236933,2.10346E+11
Oct-15-2020,11417.10546,11573.55366,11291.76508,11492.6159,23046051336,2.11241E+11
Oct-14-2020,11422.0242,11544.5787,11292.51189,11426.36748,22671063127,2.11065E+11
Oct-13-2020,11531.36029,11542.29384,11324.19713,11423.48002,27767799954,2.11938E+11
Oct-12-2020,11369.01005,11696.4827,11245.10689,11544.13764,21028934723,2.11838E+11
Oct-11-2020,11294.71293,11429.45134,11279.86258,11376.43511,18400993817,2.10285E+11
Oct-10-2020,11050.67589,11463.74364,11050.67589,11294.99419,23905936789,2.09734E+11
Oct-09-2020,10920.19899,11101.81568,10841.66081,11066.19087,23417400426,2.03184E+11
Oct-08-2020,10670.21554,10931.02328,10554.5503,10898.55184,18775481111,1.98619E+11
Oct-07-2020,10602.399,10679.0279,10567.96546,10665.25226,20562068865,1.9653E+11
Oct-06-2020,10788.03209,10792.26038,10536.77639,10604.44685,19914334722,1.98031E+11
Oct-05-2020,10667.05755,10784.67082,10629.99514,10784.67082,18073068401,1.98061E+11
Oct-04-2020,10542.05843,10684.271,10524.73128,10665.69855,15472962157,1.96196E+11
Oct-03-2020,10570.3669,10593.70297,10501.48614,10541.32189,20391901420,1.95151E+11
Oct-02-2020,10621.70759,10662.01398,10413.94089,10566.49438,28608315280,1.94792E+11
Oct-01-2020,10777.14188,10903.28751,10472.41539,10614.30333,23740107473,1.99013E+11
Sep-30-2020,10840.60047,10843.68933,10668.73516,10766.81409,22225613190,1.98798E+11
Sep-29-2020,10692.3523,10855.71614,10652.23613,10839.96268,23902695207,1.98551E+11
Sep-28-2020,10774.25437,10937.0078,10699.63372,10702.47283,22685381480,2.01247E+11
Sep-27-2020,10729.81996,10794.71235,10620.55817,10766.52245,19197868192,1.98231E+11
Sep-26-2020,10685.94518,10769.90733,10653.13178,10739.74258,22140813156,1.98169E+11
Sep-25-2020,10734.53611,10747.70807,10567.23731,10683.39523,27637879181,1.9736E+11
